trade_id,strategy,book,entry_time,exit_time,lots,lot_size,calculated_pnl,reported_final_pnl
2026-02-05T12:42:43.493536,CALL_BACKSPREAD,CONVEX,2026-02-05T12:42:43.497140,2026-02-05T12:43:19.486927,1,65,4.88,14.63
2026-02-05T12:48:16.294085,CALL_BACKSPREAD,CONVEX,2026-02-05T12:48:16.301100,2026-02-05T12:49:11.656814,1,65,-3.25,-6.5
2026-02-05T12:53:01.358917,CALL_BACKSPREAD,CONVEX,2026-02-05T12:53:01.363391,2026-02-05T12:53:46.956394,1,65,-1.62,42.25
2026-02-05T13:34:16.755957,CALL_BACKSPREAD,CONVEX,2026-02-05T13:34:16.760631,2026-02-05T13:38:07.811782,1,65,19.5,-73.12
2026-02-05T13:43:43.946144,CALL_BACKSPREAD,CONVEX,2026-02-05T13:43:43.950216,2026-02-05T13:47:40.071316,1,65,4.87,-74.75
2026-02-05T13:55:41.401346,CALL_BACKSPREAD,CONVEX,2026-02-05T13:55:41.405871,2026-02-06T09:46:25.826877,1,65,19.5,313.62
2026-02-06T09:49:10.560926,CALL_BACKSPREAD,CONVEX,2026-02-06T09:49:10.563037,2026-02-06T11:00:42.412633,1,65,16.25,474.5
2026-02-06T11:04:51.123607,CALL_BACKSPREAD,CONVEX,2026-02-06T11:04:51.126195,2026-02-06T11:30:30.807440,1,65,-8.12,-598.0
2026-02-06T11:33:15.588279,CALL_BACKSPREAD,CONVEX,2026-02-06T11:33:15.590556,2026-02-06T11:36:54.668968,1,65,4.88,-211.25
2026-02-06T11:37:41.611140,CALL_BACKSPREAD,CONVEX,2026-02-06T11:37:41.613223,2026-02-06T11:40:22.161904,1,65,30.88,42.25
2026-02-06T11:43:21.123500,CALL_BACKSPREAD,CONVEX,2026-02-06T11:43:21.125784,2026-02-06T11:47:54.475588,1,65,-34.12,-61.75
2026-02-06T11:54:01.264008,CALL_BACKSPREAD,CONVEX,2026-02-06T11:54:01.267063,2026-02-06T12:01:55.008641,1,65,1.62,-341.25
2026-02-06T12:03:15.373282,CALL_BACKSPREAD,CONVEX,2026-02-06T12:03:15.375219,2026-02-06T12:10:01.507191,1,65,-65.0,316.87
2026-02-06T12:12:43.508868,CALL_BACKSPREAD,CONVEX,2026-02-06T12:12:43.511244,2026-02-09T09:17:47.707642,1,65,-1.62,-2902.25
2026-02-09T09:19:08.904845,CALL_BACKSPREAD,CONVEX,2026-02-09T09:19:08.909317,2026-02-09T11:20:26.098517,1,65,17.88,-771.88
2026-02-09T11:23:32.377957,TREND_FOLLOW_FUTURE,TREND,2026-02-09T11:23:32.379150,2026-02-09T13:53:35.646867,1,65,0.0,-1618.5
