timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-03 09:30:10.689412,NTPC,EQ,309.7,1812167,309.7,309.75,0,2433,16
2025-02-03 09:32:39.120760,NTPC,EQ,309.25,2108836,309.25,309.35,0,1013,41
2025-02-03 09:32:46.760634,NTPC,EQ,308.65,2141359,308.65,308.8,0,468,324
2025-02-03 09:33:00.834562,NTPC,EQ,308.7,2146315,308.65,308.7,0,21,575
2025-02-03 09:33:12.064897,NTPC,EQ,308.25,2162519,308.25,308.35,0,2959,121
2025-02-03 09:33:26.671944,NTPC,EQ,308.1,2178169,308.1,308.15,0,1021,545
2025-02-03 09:33:34.629581,NTPC,EQ,308.1,2185812,308.1,308.15,0,1072,258
2025-02-03 09:33:42.235199,NTPC,EQ,307.95,2222066,307.95,308.0,0,53,1068
2025-02-03 09:33:50.053170,NTPC,EQ,308.0,2226917,307.9,308.0,0,141,1142
2025-02-03 09:33:58.410243,NTPC,EQ,307.8,2236722,307.7,307.8,0,240,755
2025-02-03 09:34:10.165932,NTPC,EQ,307.65,2246867,307.65,307.8,0,699,2808
2025-02-03 09:34:23.396900,NTPC,EQ,307.95,2252785,307.85,307.95,0,870,524
2025-02-03 09:34:31.376002,NTPC,EQ,307.7,2262517,307.7,307.8,0,192,578
2025-02-03 09:34:39.313070,NTPC,EQ,307.65,2273027,307.65,307.7,0,95,1
2025-02-03 09:34:46.643980,NTPC,EQ,307.4,2282491,307.4,307.6,0,2459,1048
2025-02-03 09:34:56.761241,NTPC,EQ,307.3,2322812,307.3,307.4,0,336,136
2025-02-03 09:35:14.317654,NTPC,EQ,307.0,2395268,306.95,307.0,0,522,327
2025-02-03 09:35:33.040461,NTPC,EQ,306.95,2419830,306.9,307.0,0,120,7089
2025-02-03 09:35:45.178057,NTPC,EQ,307.05,2453953,306.95,307.05,0,134,450
2025-02-03 09:35:56.601437,NTPC,EQ,306.95,2470637,306.95,307.0,0,683,85
2025-02-03 09:36:04.828673,NTPC,EQ,306.95,2480738,306.95,307.0,0,132,98
2025-02-03 09:36:12.911593,NTPC,EQ,307.0,2483535,306.95,307.0,0,1137,1781
2025-02-03 09:36:21.623829,NTPC,EQ,307.0,2484263,306.95,307.0,0,1442,1234
2025-02-03 09:36:29.355470,NTPC,EQ,306.9,2491826,306.8,306.9,0,170,554
2025-02-03 09:36:39.787252,NTPC,EQ,307.0,2502056,306.95,307.0,0,88,1554
2025-02-03 09:36:52.072659,NTPC,EQ,306.95,2510888,306.9,306.95,0,194,593
2025-02-03 09:37:00.878188,NTPC,EQ,306.9,2513744,306.85,306.9,0,1,4509
2025-02-03 09:37:09.855335,NTPC,EQ,306.9,2518545,306.85,306.9,0,152,1186
2025-02-03 09:37:17.208727,NTPC,EQ,306.9,2522298,306.85,306.9,0,327,210
2025-02-03 09:37:25.181401,NTPC,EQ,306.65,2528927,306.6,306.7,0,1778,305
2025-02-03 09:37:32.996811,NTPC,EQ,306.6,2531221,306.6,306.7,0,604,459
2025-02-03 09:37:42.014472,NTPC,EQ,306.6,2541774,306.5,306.6,0,1169,571
2025-02-03 09:37:51.325264,NTPC,EQ,306.55,2545653,306.5,306.55,0,710,780
2025-02-03 09:38:02.250337,NTPC,EQ,306.35,2556525,306.25,306.35,0,1068,352
2025-02-03 09:38:12.645619,NTPC,EQ,306.0,2589951,306.0,306.05,0,4953,584
2025-02-03 09:38:22.172938,NTPC,EQ,306.0,2604786,306.0,306.05,0,1221,2
2025-02-03 09:38:29.941115,NTPC,EQ,306.1,2611468,306.05,306.2,0,888,78
2025-02-03 09:38:37.493118,NTPC,EQ,306.3,2618417,306.2,306.3,0,71,801
2025-02-03 09:38:47.569722,NTPC,EQ,306.05,2629445,306.05,306.15,0,156,679
2025-02-03 09:38:58.633076,NTPC,EQ,306.05,2633517,306.0,306.05,0,5145,1224
2025-02-03 09:39:06.989042,NTPC,EQ,306.15,2637534,306.05,306.15,0,1,2896
