timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-07 09:41:04.762161,QUAL30IETF,ETF,20.5,1232,20.46,20.48,0,120,1900
2025-02-07 09:41:04.762161,QUAL30IETF,ETF,20.52,4,20.43,20.51,0,750,2660
2025-02-07 09:41:42.441880,QUAL30IETF,ETF,20.5,1232,20.46,20.48,0,120,1900
2025-02-07 09:41:42.441880,QUAL30IETF,ETF,20.52,4,20.4,20.51,0,750,2660
2025-02-07 09:42:27.307945,QUAL30IETF,ETF,20.5,1232,20.46,20.48,0,120,1900
2025-02-07 09:42:27.307945,QUAL30IETF,ETF,20.52,4,20.43,20.51,0,750,2660
2025-02-07 09:43:04.861169,QUAL30IETF,ETF,20.48,1242,20.46,20.48,0,120,1890
2025-02-07 09:43:04.861169,QUAL30IETF,ETF,20.52,4,20.43,20.51,0,750,2646
2025-02-07 09:43:50.241849,QUAL30IETF,ETF,20.48,1243,20.45,20.47,0,123,1889
2025-02-07 09:43:50.241849,QUAL30IETF,ETF,20.52,4,20.42,20.5,0,750,2643
2025-02-07 09:44:29.824244,QUAL30IETF,ETF,20.48,1243,20.45,20.47,0,3,1889
2025-02-07 09:44:29.824244,QUAL30IETF,ETF,20.52,4,20.42,20.5,0,750,2643
2025-02-07 09:45:12.696687,QUAL30IETF,ETF,20.48,1243,20.45,20.46,0,114,1889
2025-02-07 09:45:12.696687,QUAL30IETF,ETF,20.52,4,20.41,20.54,0,117,194
2025-02-07 09:45:46.594235,QUAL30IETF,ETF,20.45,1246,20.42,20.44,0,120,1886
2025-02-07 09:45:46.594235,QUAL30IETF,ETF,20.52,4,20.39,20.47,0,750,2640
2025-02-07 09:46:30.665862,QUAL30IETF,ETF,20.45,1246,20.42,20.45,0,1620,1886
2025-02-07 09:46:30.665862,QUAL30IETF,ETF,20.52,4,20.4,20.48,0,750,2640
2025-02-07 09:47:08.651245,QUAL30IETF,ETF,20.42,1407,20.43,20.45,0,120,1886
2025-02-07 09:47:08.651245,QUAL30IETF,ETF,20.52,4,20.4,20.48,0,750,2640
2025-02-07 09:47:52.395793,QUAL30IETF,ETF,20.42,1407,20.41,20.44,0,1320,2373
2025-02-07 09:47:52.395793,QUAL30IETF,ETF,20.52,4,20.39,20.47,0,750,3321
2025-02-07 09:48:28.274735,QUAL30IETF,ETF,20.42,1407,20.42,20.44,0,120,487
2025-02-07 09:48:28.274735,QUAL30IETF,ETF,20.52,4,20.36,20.47,0,750,680
2025-02-07 09:49:10.456556,QUAL30IETF,ETF,20.42,1407,20.41,20.43,0,120,487
2025-02-07 09:49:10.456556,QUAL30IETF,ETF,20.52,4,20.38,20.46,0,750,680
2025-02-07 09:49:47.316413,QUAL30IETF,ETF,20.42,1407,20.41,20.43,0,120,1886
2025-02-07 09:49:47.316413,QUAL30IETF,ETF,20.52,4,20.35,20.46,0,774,2640
