timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-11 11:39:26.002349,MID150BEES,ETF,195.0,273090,195.0,195.09,0,6068,70000
2025-02-11 11:39:59.343295,MID150BEES,ETF,195.0,273514,195.0,195.02,0,1188,70000
2025-02-11 11:40:30.827106,MID150BEES,ETF,194.94,275756,194.9,194.93,0,263,70000
2025-02-11 11:41:08.405377,MID150BEES,ETF,194.9,276585,194.88,194.9,0,15,69981
2025-02-11 11:41:44.631910,MID150BEES,ETF,194.98,277009,194.91,194.98,0,10,105000
2025-02-11 11:42:22.202747,MID150BEES,ETF,195.13,277042,195.02,195.13,0,500,49990
2025-02-11 11:42:54.121222,MID150BEES,ETF,195.14,283306,195.14,195.24,0,3,70899
2025-02-11 11:43:31.219079,MID150BEES,ETF,195.23,283548,195.14,195.24,0,218,35000
2025-02-11 11:44:04.437295,MID150BEES,ETF,195.25,284191,195.23,195.25,0,15,36815
2025-02-11 11:44:41.795856,MID150BEES,ETF,195.14,284550,195.05,195.13,0,105,40480
2025-02-11 11:45:15.219921,MID150BEES,ETF,195.11,284896,195.05,195.11,0,105,36208
2025-02-11 11:45:47.963973,MID150BEES,ETF,195.1,285005,195.05,195.1,0,889,912
2025-02-11 11:46:28.711632,MID150BEES,ETF,195.1,285946,195.05,195.1,0,76,1721
2025-02-11 11:47:05.947582,MID150BEES,ETF,195.19,286293,195.1,195.19,0,331,35900
2025-02-11 11:47:40.025787,MID150BEES,ETF,195.1,288382,195.1,195.11,0,181,35895
2025-02-11 11:48:16.603025,MID150BEES,ETF,195.05,288928,195.03,195.05,0,100,34987
2025-02-11 11:48:48.809883,MID150BEES,ETF,195.01,290204,195.0,195.01,0,1380,633
2025-02-11 11:49:25.987574,MID150BEES,ETF,195.02,291742,195.01,195.04,0,440,50440
2025-02-11 11:49:57.852239,MID150BEES,ETF,195.05,291898,195.01,195.05,0,399,35025
2025-02-11 11:50:31.446112,MID150BEES,ETF,195.0,292389,195.0,195.04,0,655,84928
2025-02-11 11:51:04.279007,MID150BEES,ETF,195.04,292771,195.01,195.04,0,250,85186
2025-02-11 11:51:37.909886,MID150BEES,ETF,195.04,292830,195.01,195.04,0,245,3740
2025-02-11 11:52:14.948975,MID150BEES,ETF,195.02,292901,195.03,195.04,0,3562,3675
2025-02-11 11:52:48.185658,MID150BEES,ETF,195.05,296636,195.03,195.1,0,500,60
2025-02-11 11:53:24.519100,MID150BEES,ETF,195.1,296695,195.03,195.1,0,1,901
2025-02-11 11:53:55.047213,MID150BEES,ETF,195.1,296737,195.03,195.1,0,1,84959
2025-02-11 11:54:33.272916,MID150BEES,ETF,195.08,297089,195.04,195.08,0,5,50882
2025-02-11 11:55:06.590310,MID150BEES,ETF,195.0,299667,194.98,195.0,0,271,386
2025-02-11 11:55:42.535553,MID150BEES,ETF,194.89,325694,194.88,194.9,0,1,85859
2025-02-11 11:56:19.824948,MID150BEES,ETF,194.94,325979,194.94,194.98,0,5,87344
2025-02-11 11:56:54.957738,MID150BEES,ETF,195.0,326199,194.94,195.02,0,506,2328
2025-02-11 11:57:29.250466,MID150BEES,ETF,195.0,326220,194.96,195.0,0,5,2307
2025-02-11 11:58:02.532058,MID150BEES,ETF,194.99,326322,194.96,194.99,0,5,37205
2025-02-11 11:58:34.985087,MID150BEES,ETF,194.96,327333,194.9,194.96,0,239,51202
2025-02-11 11:59:08.800141,MID150BEES,ETF,194.92,327669,194.9,194.92,0,239,1138
2025-02-11 11:59:40.181643,MID150BEES,ETF,194.87,328278,194.85,194.87,0,36,35854
