week,expiry,pcr,signal,spot,atm,short,long,credit,exit,stop,pnl_pts,pnl_inr,note
2024-01-01,2024-01-04,0.99,SKIP,—,—,—,—,—,—,,—,—,
2024-01-08,2024-01-11,0.60,BEAR_CALL,21513,21500,21600,21800,47.5,0.0,,+47.5,"+3,091",
2024-01-15,2024-01-18,1.53,BULL_PUT,22097,22100,22000,21800,37.6,188.3,Y,-150.8,"-9,799",stopped_wed
2024-01-22,2024-01-25,0.61,BEAR_CALL,21239,21250,21350,21550,34.7,113.0,Y,-78.2,"-5,086",stopped_wed
2024-01-29,2024-02-01,1.10,SKIP,—,—,—,—,—,—,,—,—,
2024-02-05,2024-02-08,0.72,SKIP,—,—,—,—,—,—,,—,—,
2024-02-12,2024-02-15,0.65,BEAR_CALL,21616,21600,21700,21900,63.5,0.0,,+63.5,"+4,128",
2024-02-19,2024-02-22,1.19,SKIP,—,—,—,—,—,—,,—,—,
2024-02-26,2024-02-29,0.84,SKIP,—,—,—,—,—,—,,—,—,
2024-03-04,2024-03-07,1.26,SKIP,—,—,—,—,—,—,,—,—,
2024-03-11,2024-03-14,0.70,BEAR_CALL,22333,22350,22450,22650,55.1,0.0,,+55.1,"+3,582",
2024-03-18,2024-03-21,0.77,SKIP,—,—,—,—,—,—,,—,—,
2024-03-25,2024-03-28,1.04,SKIP,—,—,—,—,—,—,,—,—,
2024-04-01,2024-04-04,0.98,SKIP,—,—,—,—,—,—,,—,—,
2024-04-08,2024-04-10,1.39,BULL_PUT,22666,22650,22550,22350,29.9,0.0,,+29.9,"+1,944",
2024-04-15,2024-04-18,0.63,BEAR_CALL,22272,22250,22350,22550,63.7,0.0,,+63.7,"+4,140",
2024-04-22,2024-04-25,1.07,SKIP,—,—,—,—,—,—,,—,—,
2024-04-29,2024-05-02,1.13,SKIP,—,—,—,—,—,—,,—,—,
2024-05-06,2024-05-09,0.62,BEAR_CALL,22443,22450,22550,22750,56.5,0.0,,+56.5,"+3,676",
2024-05-13,2024-05-16,0.78,SKIP,—,—,—,—,—,—,,—,—,
2024-05-20,2024-05-23,1.09,SKIP,—,—,—,—,—,—,,—,—,
2024-05-27,2024-05-30,0.88,SKIP,—,—,—,—,—,—,,—,—,
2024-06-03,2024-06-06,0.90,SKIP,—,—,—,—,—,—,,—,—,
2024-06-10,2024-06-13,0.82,SKIP,—,—,—,—,—,—,,—,—,
2024-06-17,2024-06-20,1.20,SKIP,—,—,—,—,—,—,,—,—,
2024-06-24,2024-06-27,1.03,SKIP,—,—,—,—,—,—,,—,—,
2024-07-01,2024-07-04,1.07,SKIP,—,—,—,—,—,—,,—,—,
2024-07-08,2024-07-11,0.98,SKIP,—,—,—,—,—,—,,—,—,
2024-07-15,2024-07-18,1.17,SKIP,—,—,—,—,—,—,,—,—,
2024-07-22,2024-07-25,0.89,SKIP,—,—,—,—,—,—,,—,—,
2024-07-29,2024-08-01,0.98,SKIP,—,—,—,—,—,—,,—,—,
2024-08-05,2024-08-08,0.46,BEAR_CALL,24056,24050,24150,24350,87.4,0.0,,+87.4,"+5,684",
2024-08-12,2024-08-14,0.79,SKIP,—,—,—,—,—,—,,—,—,
2024-08-19,2024-08-22,1.00,SKIP,—,—,—,—,—,—,,—,—,
2024-08-26,2024-08-29,1.22,SKIP,—,—,—,—,—,—,,—,—,
2024-09-02,2024-09-05,0.96,SKIP,—,—,—,—,—,—,,—,—,
2024-09-09,2024-09-12,0.67,BEAR_CALL,24936,24950,25050,25250,43.7,0.0,,+43.7,"+2,840",
2024-09-16,2024-09-19,0.99,SKIP,—,—,—,—,—,—,,—,—,
2024-09-23,2024-09-26,1.39,BULL_PUT,25939,25950,25850,25650,51.6,0.0,,+51.6,"+3,357",
2024-09-30,2024-10-03,0.65,BEAR_CALL,25811,25800,25900,26100,56.5,0.0,,+56.5,"+3,676",
2024-10-07,2024-10-10,0.45,BEAR_CALL,24796,24800,24900,25100,75.3,0.0,,+75.3,"+4,894",
2024-10-14,2024-10-17,0.70,BEAR_CALL,25128,25150,25250,25450,43.8,0.0,,+43.8,"+2,844",
2024-10-21,2024-10-24,0.59,BEAR_CALL,24781,24800,24900,25100,37.9,0.0,,+37.9,"+2,460",
2024-10-28,2024-10-31,0.84,SKIP,—,—,—,—,—,—,,—,—,
2024-11-04,2024-11-07,0.62,BEAR_CALL,23995,24000,24100,24300,75.2,0.0,,+75.2,"+4,888",
2024-11-11,2024-11-14,0.72,SKIP,—,—,—,—,—,—,,—,—,
2024-11-18,2024-11-21,0.71,SKIP,—,—,—,—,—,—,,—,—,
2024-11-25,2024-11-28,1.03,SKIP,—,—,—,—,—,—,,—,—,
2024-12-02,2024-12-05,1.18,SKIP,—,—,—,—,—,—,,—,—,
2024-12-09,2024-12-12,0.75,SKIP,—,—,—,—,—,—,,—,—,
2024-12-16,2024-12-19,0.77,SKIP,—,—,—,—,—,—,,—,—,
2024-12-23,2024-12-26,0.77,SKIP,—,—,—,—,—,—,,—,—,
2024-12-30,2025-01-02,0.75,SKIP,—,—,—,—,—,—,,—,—,
2025-01-06,2025-01-09,0.56,BEAR_CALL,23616,23600,23700,23900,74.0,0.0,,+74.0,"+4,810",
2025-01-13,2025-01-16,0.59,BEAR_CALL,23086,23100,23200,23400,61.0,0.0,,+61.0,"+3,968",
2025-01-20,2025-01-23,1.01,SKIP,—,—,—,—,—,—,,—,—,
2025-01-27,2025-01-30,0.66,BEAR_CALL,22829,22850,22950,23150,58.7,0.0,,+58.7,"+3,812",
2025-02-03,2025-02-06,0.74,SKIP,—,—,—,—,—,—,,—,—,
2025-02-10,2025-02-13,0.59,BEAR_CALL,23382,23400,23500,23700,58.4,0.0,,+58.4,"+3,796",
2025-02-17,2025-02-20,0.82,SKIP,—,—,—,—,—,—,,—,—,
2025-02-24,2025-02-27,0.61,BEAR_CALL,22553,22550,22650,22850,59.1,0.0,,+59.1,"+3,838",
2025-03-03,2025-03-06,0.71,SKIP,—,—,—,—,—,—,,—,—,
2025-03-10,2025-03-13,0.79,SKIP,—,—,—,—,—,—,,—,—,
2025-03-17,2025-03-20,1.03,SKIP,—,—,—,—,—,—,,—,—,
2025-03-24,2025-03-27,1.17,SKIP,—,—,—,—,—,—,,—,—,
2025-03-31,2025-04-03,0.63,BEAR_CALL,23166,23150,23250,23450,57.8,0.0,,+57.8,"+3,757",
2025-04-07,2025-04-09,0.58,BEAR_CALL,22162,22150,22250,22450,110.7,0.0,,+110.7,"+7,195",
2025-04-14,2025-04-17,0.81,SKIP,—,—,—,—,—,—,,—,—,
2025-04-21,2025-04-24,1.11,SKIP,—,—,—,—,—,—,,—,—,
2025-04-28,2025-04-30,1.19,SKIP,—,—,—,—,—,—,,—,—,
2025-05-05,2025-05-08,0.81,SKIP,—,—,—,—,—,—,,—,—,
2025-05-12,2025-05-15,1.19,SKIP,—,—,—,—,—,—,,—,—,
2025-05-19,2025-05-22,0.60,BEAR_CALL,24945,24950,25050,25250,54.5,0.0,,+54.5,"+3,546",
2025-05-26,2025-05-29,1.01,SKIP,—,—,—,—,—,—,,—,—,
2025-06-02,2025-06-05,0.68,BEAR_CALL,24717,24700,24800,25000,80.8,0.0,,+80.8,"+5,252",
2025-06-09,2025-06-12,0.94,SKIP,—,—,—,—,—,—,,—,—,
2025-06-16,2025-06-19,1.11,SKIP,—,—,—,—,—,—,,—,—,
2025-06-23,2025-06-26,0.98,SKIP,—,—,—,—,—,—,,—,—,
2025-06-30,2025-07-03,0.64,BEAR_CALL,25517,25500,25600,25800,56.8,0.0,,+56.8,"+3,692",
2025-07-07,2025-07-10,0.80,SKIP,—,—,—,—,—,—,,—,—,
2025-07-14,2025-07-17,0.54,BEAR_CALL,25082,25100,25200,25400,44.8,0.0,,+44.8,"+2,915",
2025-07-21,2025-07-24,0.86,SKIP,—,—,—,—,—,—,,—,—,
2025-07-28,2025-07-31,0.51,BEAR_CALL,24681,24700,24800,25000,41.2,0.0,,+41.2,"+2,678",
2025-08-04,2025-08-07,0.84,SKIP,—,—,—,—,—,—,,—,—,
2025-08-11,2025-08-14,1.00,SKIP,—,—,—,—,—,—,,—,—,
2025-08-18,2025-08-21,0.87,SKIP,—,—,—,—,—,—,,—,—,
2025-08-25,2025-08-28,0.77,SKIP,—,—,—,—,—,—,,—,—,
2025-09-01,2025-09-09,0.98,SKIP,—,—,—,—,—,—,,—,—,
2025-09-08,2025-09-16,0.94,SKIP,—,—,—,—,—,—,,—,—,
2025-09-15,2025-09-23,0.95,SKIP,—,—,—,—,—,—,,—,—,
2025-09-22,2025-09-30,0.87,SKIP,—,—,—,—,—,—,,—,—,
2025-09-29,2025-10-07,0.71,SKIP,—,—,—,—,—,—,,—,—,
2025-10-06,2025-10-14,0.94,SKIP,—,—,—,—,—,—,,—,—,
2025-10-13,2025-10-20,0.88,SKIP,—,—,—,—,—,—,,—,—,
2025-10-20,2025-10-28,1.04,SKIP,—,—,—,—,—,—,,—,—,
2025-10-27,2025-11-04,0.78,SKIP,—,—,—,—,—,—,,—,—,
2025-11-03,2025-11-11,0.73,SKIP,—,—,—,—,—,—,,—,—,
2025-11-10,2025-11-18,0.78,SKIP,—,—,—,—,—,—,,—,—,
2025-11-17,2025-11-25,1.01,SKIP,—,—,—,—,—,—,,—,—,
2025-11-24,2025-12-02,0.73,SKIP,—,—,—,—,—,—,,—,—,
2025-12-01,2025-12-09,0.91,SKIP,—,—,—,—,—,—,,—,—,
2025-12-08,2025-12-16,0.68,BEAR_CALL,25961,25950,26050,26250,69.8,0.0,,+69.8,"+4,537",
2025-12-15,2025-12-23,0.97,SKIP,—,—,—,—,—,—,,—,—,
2025-12-22,2025-12-30,1.13,SKIP,—,—,—,—,—,—,,—,—,
2025-12-29,2026-01-06,0.69,BEAR_CALL,25942,25950,26050,26250,65.2,0.0,,+65.2,"+4,241",
2026-01-05,2026-01-13,0.82,SKIP,—,—,—,—,—,—,,—,—,
2026-01-12,2026-01-20,0.66,BEAR_CALL,25790,25800,25900,26100,70.8,0.0,,+70.8,"+4,602",
2026-01-19,2026-01-27,0.69,BEAR_CALL,25586,25600,25700,25900,60.3,0.0,,+60.3,"+3,923",
2026-01-26,2026-02-03,0.83,SKIP,—,—,—,—,—,—,,—,—,
2026-02-02,2026-02-10,0.88,SKIP,—,—,—,—,—,—,,—,—,
2026-02-09,2026-02-17,0.99,SKIP,—,—,—,—,—,—,,—,—,
2026-02-16,2026-02-24,0.97,SKIP,—,—,—,—,—,—,,—,—,
2026-02-23,2026-03-02,0.89,SKIP,—,—,—,—,—,—,,—,—,
2026-03-02,2026-03-10,0.74,SKIP,—,—,—,—,—,—,,—,—,
2026-03-09,2026-03-17,0.57,BEAR_CALL,24028,24050,24150,24350,112.4,0.0,,+112.4,"+7,306",
2026-03-16,2026-03-24,0.79,SKIP,—,—,—,—,—,—,,—,—,
2026-03-23,2026-03-30,0.97,SKIP,—,—,—,—,—,—,,—,—,
2026-03-30,2026-04-07,0.77,SKIP,—,—,—,—,—,—,,—,—,
2026-04-06,2026-04-13,0.93,SKIP,—,—,—,—,—,—,,—,—,
2026-04-13,2026-04-21,1.10,SKIP,—,—,—,—,—,—,,—,—,
2026-04-20,2026-04-28,1.13,SKIP,—,—,—,—,—,—,,—,—,
2026-04-27,2026-05-05,0.83,SKIP,—,—,—,—,—,—,,—,—,
2026-05-04,2026-05-12,0.91,SKIP,—,—,—,—,—,—,,—,—,
2026-05-11,2026-05-19,0.81,SKIP,—,—,—,—,—,—,,—,—,
