week,expiry,pcr,signal,spot,atm,short,long,credit,exit,stop,pnl_pts,pnl_inr,note
2024-01-01,2024-01-03,0.82,SKIP,—,—,—,—,—,—,,—,—,
2024-01-08,2024-01-10,0.51,BEAR_CALL,47450,47500,47600,47800,58.5,0.0,,+58.5,"+1,755",
2024-01-15,2024-01-17,1.30,BULL_PUT,48158,48200,48100,47900,73.4,0.0,,+73.4,"+2,203",
2024-01-22,2024-01-25,0.49,BEAR_CALL,45015,45000,45100,45300,61.5,0.0,,+61.5,"+1,845",
2024-01-29,2024-01-31,0.86,SKIP,—,—,—,—,—,—,,—,—,
2024-02-05,2024-02-07,0.63,BEAR_CALL,45826,45800,45900,46100,80.2,0.0,,+80.2,"+2,404",
2024-02-12,2024-02-14,0.54,BEAR_CALL,44882,44900,45000,45200,77.3,0.0,,+77.3,"+2,319",
2024-02-19,2024-02-21,1.16,SKIP,—,—,—,—,—,—,,—,—,
2024-02-26,2024-02-29,0.73,SKIP,—,—,—,—,—,—,,—,—,
2024-03-04,2024-03-06,1.23,SKIP,—,—,—,—,—,—,,—,—,
2024-03-11,2024-03-13,0.66,BEAR_CALL,47328,47300,47400,47600,77.2,0.0,,+77.2,"+2,316",
2024-03-18,2024-03-20,0.76,SKIP,—,—,—,—,—,—,,—,—,
2024-03-25,2024-04-03,0.93,SKIP,—,—,—,—,—,—,,—,—,
2024-04-01,2024-04-03,1.08,SKIP,—,—,—,—,—,—,,—,—,
2024-04-08,2024-04-10,1.23,SKIP,—,—,—,—,—,—,,—,—,
2024-04-15,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-04-22,2024-04-24,1.02,SKIP,—,—,—,—,—,—,,—,—,
2024-04-29,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-05-06,2024-05-08,0.61,BEAR_CALL,48895,48900,49000,49200,87.4,0.0,,+87.4,"+2,621",
2024-05-13,2024-05-15,0.91,SKIP,—,—,—,—,—,—,,—,—,
2024-05-20,2024-05-29,0.75,SKIP,—,—,—,—,—,—,,—,—,
2024-05-27,2024-05-29,0.98,SKIP,—,—,—,—,—,—,,—,—,
2024-06-03,2024-06-05,0.69,BEAR_CALL,50980,51000,51100,51300,87.9,0.0,,+87.9,"+2,637",
2024-06-10,2024-06-12,0.68,BEAR_CALL,49781,49800,49900,50100,74.7,0.0,,+74.7,"+2,241",
2024-06-17,2024-06-26,1.05,SKIP,—,—,—,—,—,—,,—,—,
2024-06-24,2024-06-26,1.22,SKIP,—,—,—,—,—,—,,—,—,
2024-07-01,2024-07-03,0.87,SKIP,—,—,—,—,—,—,,—,—,
2024-07-08,2024-07-10,0.63,BEAR_CALL,52426,52400,52500,52700,76.0,0.0,,+76.0,"+2,279",
2024-07-15,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-07-22,2024-07-24,0.59,BEAR_CALL,52280,52300,52400,52600,80.2,0.0,,+80.2,"+2,406",
2024-07-29,2024-07-31,0.68,BEAR_CALL,51406,51400,51500,51700,77.2,0.0,,+77.2,"+2,316",
2024-08-05,2024-08-07,0.53,BEAR_CALL,50092,50100,50200,50400,91.4,0.0,,+91.4,"+2,743",
2024-08-12,2024-08-14,0.99,SKIP,—,—,—,—,—,—,,—,—,
2024-08-19,2024-08-21,0.75,SKIP,—,—,—,—,—,—,,—,—,
2024-08-26,2024-08-28,0.76,SKIP,—,—,—,—,—,—,,—,—,
2024-09-02,2024-09-04,0.85,SKIP,—,—,—,—,—,—,,—,—,
2024-09-09,2024-09-11,0.86,SKIP,—,—,—,—,—,—,,—,—,
2024-09-16,2024-09-18,1.25,SKIP,—,—,—,—,—,—,,—,—,
2024-09-23,2024-09-25,1.39,BULL_PUT,54106,54100,54000,53800,75.7,0.0,,+75.7,"+2,271",
2024-09-30,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-10-07,2024-10-09,0.50,BEAR_CALL,50479,50500,50600,50800,96.1,0.0,,+96.1,"+2,884",
2024-10-14,2024-10-16,1.02,SKIP,—,—,—,—,—,—,,—,—,
2024-10-21,2024-10-23,0.86,SKIP,—,—,—,—,—,—,,—,—,
2024-10-28,2024-10-30,0.76,SKIP,—,—,—,—,—,—,,—,—,
2024-11-04,2024-11-06,0.66,BEAR_CALL,51215,51200,51300,51500,90.6,0.0,,+90.6,"+2,718",
2024-11-11,2024-11-13,0.81,SKIP,—,—,—,—,—,—,,—,—,
2024-11-18,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-11-25,2024-11-27,1.32,BULL_PUT,52208,52200,52100,51900,80.9,0.0,,+80.9,"+2,427",
2024-12-02,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-12-09,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-12-16,2024-12-24,0.90,SKIP,—,—,—,—,—,—,,—,—,
2024-12-23,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2024-12-30,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-01-06,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-01-13,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-01-20,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-01-27,2025-01-30,0.56,BEAR_CALL,48065,48100,48200,48400,86.1,0.0,,+86.1,"+2,584",
2025-02-03,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-02-10,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-02-17,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-02-24,2025-02-27,0.73,SKIP,—,—,—,—,—,—,,—,—,
2025-03-03,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-03-10,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
